threshold,blocked,blocked_pct,has_alt,no_alt,blk_ds5,w_blocked,l_blocked
19,2387,75.68167406467977,1454,933,1717.2605781315458,1166,1221
38,1935,61.35066582117945,1454,481,1623.0547803617571,905,1030
57,1466,46.480659480025366,1454,12,1299.9911323328786,653,813
76,1177,37.317691819911225,1165,12,990.1011045029736,491,686
95,1034,32.78376664552949,1022,12,1078.4564796905222,421,613
150,749,23.747622067216234,737,12,1271.6328437917223,279,470
250,617,19.562460367786937,617,0,1415.2025931928688,205,412
